mem: 94087967428751, val: 0
mem: 94087967428750, val: 0
mem: 94087967428749, val: 0
mem: 94087967428748, val: 0
mem: 94087967428747, val: 0
mem: 94087967428746, val: 0
mem: 94087967428745, val: 0
mem: 94087967428744, val: 0
mem: 94087967428743, val: 0
mem: 94087967428742, val: 0
mem: 94087967428741, val: 0
mem: 94087967428740, val: 0
mem: 94087967428739, val: 0
mem: 94087967428738, val: 0
mem: 94087967428737, val: 0
mem: 94087967428736, val: 0
mem: 94087967428735, val: 0
mem: 94087967428734, val: 0
mem: 94087967428733, val: 85
mem: 94087967428732, val: 146
mem: 94087967428731, val: 143
mem: 94087967428730, val: 72
mem: 94087967428729, val: 50
mem: 94087967428728, val: 136
mem: 94087967428727, val: 0
mem: 94087967428726, val: 0
mem: 94087967428725, val: 0
mem: 94087967428724, val: 0
mem: 94087967428723, val: 0
mem: 94087967428722, val: 0
mem: 94087967428721, val: 0
mem: 94087967428720, val: 0
mem: 94087967428719, val: 0
mem: 94087967428718, val: 0
mem: 94087967428717, val: 0
mem: 94087967428716, val: 0
mem: 94087967428715, val: 0
mem: 94087967428714, val: 0
mem: 94087967428713, val: 0
mem: 94087967428712, val: 0
mem: 94087967428711, val: 0
mem: 94087967428710, val: 0
mem: 94087967428709, val: 0
mem: 94087967428708, val: 0
mem: 94087967428707, val: 0
mem: 94087967428706, val: 0
mem: 94087967428705, val: 0
mem: 94087967428704, val: 1
mem: 94087967428703, val: 0
mem: 94087967428702, val: 0
mem: 94087967428701, val: 85
mem: 94087967428700, val: 146
mem: 94087967428699, val: 143
mem: 94087967428698, val: 73
mem: 94087967428697, val: 15
mem: 94087967428696, val: 128
mem: 94087967428695, val: 0
mem: 94087967428694, val: 0
mem: 94087967428693, val: 85
mem: 94087967428692, val: 146
mem: 94087967428691, val: 143
mem: 94087967428690, val: 72
mem: 94087967428689, val: 50
mem: 94087967428688, val: 136
mem: 94087967428687, val: 0
mem: 94087967428686, val: 0
mem: 94087967428685, val: 85
mem: 94087967428684, val: 146
mem: 94087967428683, val: 143
mem: 94087967428682, val: 69
mem: 94087967428681, val: 104
mem: 94087967428680, val: 195
mem: 94087967428679, val: 0
mem: 94087967428678, val: 0
mem: 94087967428677, val: 85
mem: 94087967428676, val: 146
mem: 94087967428675, val: 143
mem: 94087967428674, val: 224
mem: 94087967428673, val: 80
mem: 94087967428672, val: 64
mem: 94087967428671, val: 0
mem: 94087967428670, val: 0
mem: 94087967428669, val: 85
mem: 94087967428668, val: 146
mem: 94087967428667, val: 143
mem: 94087967428666, val: 224
mem: 94087967428665, val: 79
mem: 94087967428664, val: 248
mem: 94087967428663, val: 0
mem: 94087967428662, val: 0
mem: 94087967428661, val: 0
mem: 94087967428660, val: 0
mem: 94087967428659, val: 0
mem: 94087967428658, val: 0
mem: 94087967428657, val: 3
mem: 94087967428656, val: 160
mem: 94087967428655, val: 0
mem: 94087967428654, val: 0
mem: 94087967428653, val: 0
mem: 94087967428652, val: 0
mem: 94087967428651, val: 0
mem: 94087967428650, val: 0
mem: 94087967428649, val: 3
mem: 94087967428648, val: 152
mem: 94087967428647, val: 0
mem: 94087967428646, val: 0
mem: 94087967428645, val: 0
mem: 94087967428644, val: 0
mem: 94087967428643, val: 0
mem: 94087967428642, val: 0
mem: 94087967428641, val: 3
mem: 94087967428640, val: 144
mem: 94087967428639, val: 0
mem: 94087967428638, val: 0
mem: 94087967428637, val: 85
mem: 94087967428636, val: 146
mem: 94087967428635, val: 143
mem: 94087967428634, val: 72
mem: 94087967428633, val: 65
mem: 94087967428632, val: 217
mem: 94087967428631, val: 0
mem: 94087967428630, val: 0
mem: 94087967428629, val: 0
mem: 94087967428628, val: 0
mem: 94087967428627, val: 0
mem: 94087967428626, val: 0
mem: 94087967428625, val: 0
mem: 94087967428624, val: 0
mem: 94087967428623, val: 0
mem: 94087967428622, val: 0
mem: 94087967428621, val: 0
mem: 94087967428620, val: 0
mem: 94087967428619, val: 0
mem: 94087967428618, val: 0
mem: 94087967428617, val: 0
mem: 94087967428616, val: 9
mem: 94087967428615, val: 0
mem: 94087967428614, val: 0
mem: 94087967428613, val: 85
mem: 94087967428612, val: 146
mem: 94087967428611, val: 143
mem: 94087967428610, val: 72
mem: 94087967428609, val: 50
mem: 94087967428608, val: 136
mem: 94087967428607, val: 0
mem: 94087967428606, val: 0
mem: 94087967428605, val: 85
mem: 94087967428604, val: 146
mem: 94087967428603, val: 143
mem: 94087967428602, val: 224
mem: 94087967428601, val: 79
mem: 94087967428600, val: 248
mem: 94087967428599, val: 0
mem: 94087967428598, val: 0
mem: 94087967428597, val: 85
mem: 94087967428596, val: 146
mem: 94087967428595, val: 143
mem: 94087967428594, val: 224
mem: 94087967428593, val: 79
mem: 94087967428592, val: 240
mem: 94087967428591, val: 0
mem: 94087967428590, val: 0
mem: 94087967428589, val: 85
mem: 94087967428588, val: 146
mem: 94087967428587, val: 143
